tweet_id,author_id,created_at,text,response_tweet_id,in_response_to_tweet_id,intent
955054,346598,Fri Nov 10 22:31:58 +0000 2017,@AmazonHelp L'application @33156 fait booter en boucle mon #firetvstick tout neuf. Apres désinstallation et réinstallation j ai maintenant une erreur -116. Netflix fonctionne bien sur gsm/chromecast actuellement,955052,955058.0,DELIVERY_DELAY
1354439,435856,Fri Oct 27 19:45:16 +0000 2017,"@AmazonHelp to get my money also i need to wait for not known time/system.
no sense people. i am going to sue you people.",,1354437.0,DELIVERY_NOT_RECEIVED
1114339,382996,Sun Oct 15 10:19:58 +0000 2017,"@AmazonHelp hi, need help regarding exchange offers. Kindly contact ASAP.","1114340,1114338",,PAYMENT_BILLING
837159,319239,Fri Oct 13 10:41:12 +0000 2017,@AmazonHelp  https://t.co/htysufYc3c,,837158.0,
399875,210546,Mon Oct 09 19:07:23 +0000 2017,@AmazonHelp u hv the order id... Ryt...?? Chck the issue then,399876,399874.0,ORDER_STATUS
226327,170030,Thu Oct 05 07:13:07 +0000 2017,@AmazonHelp I want to solution at the earliest and give my money and interest and all that has Been charged back,,226326.0,PAYMENT_BILLING
1560586,482166,Sat Nov 04 08:54:14 +0000 2017,"@AmazonHelp I didn’t get the email so checked the app last night and it said delivered, contacted CS and they said I’d have the email within 24h",1560588,1560585.0,ORDER_STATUS
238004,172640,Wed Oct 04 17:01:16 +0000 2017,@AmazonHelp Definitely setting up multi room now... thx for that info,,238003.0,
535680,235757,Sat Dec 02 13:07:39 +0000 2017,Quero dizer @AmazonHelp que meus livros acabaram de chegar 💗,535678,,
1266335,328635,Fri Nov 03 18:06:02 +0000 2017,@AmazonHelp @15471 @120697 @115821 @2517 @4030 @118702 @14281 @75897 @120697 amazon has cheated n harassed me tactfully for Rs 35000 i ve all proofs,,878788.0,PAYMENT_BILLING
534153,243714,Sat Dec 02 12:10:47 +0000 2017,"@AmazonHelp You’ve lost my parcel, so all I get is a refund and have to buy it at a more expensive price? How is that fair",,534152.0,RETURN_REFUND
2356741,608467,Mon Nov 13 19:29:40 +0000 2017,My last 3+ @115821 Prime orders have been late.  Is this going to be an ongoing theme or is this just some fluke.  I need to know if I can no longer count on your delivery dates @AmazonHelp,2356740,,DELIVERY_DELAY
287988,184635,Thu Oct 12 14:09:25 +0000 2017,"@AmazonHelp The question is not about receiving the orders on or before 8PM, it's about sharing contact details, #WhyAmazon ?

@115850  @115821",287990,287987.0,
2132866,530544,Wed Nov 08 20:18:15 +0000 2017,"@AmazonHelp ""arriving today by 9 p.m."" I paid for same-day delivery yesterday, and they attempted delivery around 7pm when I was not home and the office was closed.","2132868,2132869",2132865.0,DELIVERY_DELAY
183015,159045,Wed Oct 04 16:47:04 +0000 2017,@AmazonHelp Tout est absolument parfait 😘,183013,183024.0,
2485653,226779,Wed Nov 15 15:54:31 +0000 2017,"@AmazonHelp @AmazonHelp  seriously.. you looted my money..
@115821 you loosing your old costomer ..",,2485651.0,
