tweet_id,author_id,created_at,text,response_tweet_id,in_response_to_tweet_id,intent,confidence,human_intent
2598512,735679,Fri Nov 17 05:51:14 +0000 2017,@AmazonHelp It says AMZL US,2598515,2598510.0,ORDER_STATUS,0.8,SKIP
854329,176366,Fri Oct 20 15:46:47 +0000 2017,@AmazonHelp c’est la troisième fois que je trouve mon colis comme ça vos livreurs sont débiles ou quoi ? https://t.co/ojqIvALN2P,"854327,854331",,RETURN_REFUND,0.85,SKIP
1565019,483179,Tue Oct 17 15:12:10 +0000 2017,"@AmazonHelp Tout à l'air bien ce matin... mais pendant 2 jours le site était vraiment 
étrange... Merci d'avoir répondu!",1565021,1565018.0,PRODUCT_TECHNICAL,0.85,PRODUCT_TECHNICAL
135029,146424,Fri Nov 24 09:19:18 +0000 2017,@AmazonHelp Tickets go on sale in ten mins and you are showing the wrong date,135031,135028.0,PRODUCT_TECHNICAL,0.85,PRODUCT_TECHNICAL
374157,204704,Mon Oct 09 01:25:36 +0000 2017,@AmazonHelp May try the voice training,374160,374156.0,PRODUCT_TECHNICAL,0.85,PRODUCT_TECHNICAL
529056,242503,Sun Dec 03 06:04:44 +0000 2017,@AmazonHelp #Amazonindia #cheaters #JEFFBEZOS one thing I will make sure that u get a negative publicity by taking away your customers money,529057,529054.0,PAYMENT_BILLING,0.85,SKIP
1193415,400431,Wed Oct 25 01:26:02 +0000 2017,"@AmazonHelp broadly, the inability to choose a reliable carrier and instead having to use amazon logistics which is filled with hiccups is frustrating",1193416,1193414.0,SKIP,0.85,SKIP
2456096,703559,Wed Nov 15 07:17:43 +0000 2017,@AmazonHelp My registered email to u is __email__ can access there.,2456109,2456094.0,ACCOUNT_ACCESS,0.85,ACCOUNT_ACCESS
1573506,484990,Sat Nov 04 14:42:57 +0000 2017,@484989 @AmazonHelp It's second gen.  They stopped making the 1st gen over a year ago.,,1573503.0,PRODUCT_TECHNICAL,0.85,PRODUCT_TECHNICAL
80674,133896,Fri Dec 01 12:40:41 +0000 2017,"@AmazonHelp Il y a qd même un gros problème avec Chronopost de manière générale car sur les sms et mails ils donnent la possibilité de modifier le créneau (encore sur le sms ce matin, j'avais jusque 9.30!) mais impossible de le faire !",80676,80673.0,DELIVERY_DELAY,0.85,DELIVERY_DELAY
1710640,518223,Tue Oct 17 17:56:22 +0000 2017,@AmazonHelp Thank you. It took them too long to disable my account.,,1710638.0,ACCOUNT_ACCESS,0.85,ACCOUNT_ACCESS
1104334,274954,Tue Oct 31 11:22:42 +0000 2017,"@AmazonHelp Link not working, please share an alternate mean to do so...",,651595.0,PRODUCT_TECHNICAL,0.85,PRODUCT_TECHNICAL
1555488,481022,Sat Nov 04 13:20:00 +0000 2017,"@AmazonHelp In the month of July my mobile screen got damaged while traveling to office and then I logged the complaint at your customer service,","1555490,1555491",1555487.0,RETURN_REFUND,0.85,CUSTOMER_SERVICE_ESCALATION
1557702,481486,Sun Nov 05 14:49:15 +0000 2017,"@AmazonHelp bah via le chat, il dise qu'il y a aucun lien entre le faite qu'une expédition avant se faisait le même jour que la commande",1557704,1557701.0,CUSTOMER_SERVICE_ESCALATION,0.85,CUSTOMER_SERVICE_ESCALATION
416663,214403,Mon Sep 25 18:37:18 +0000 2017,@AmazonHelp You've already given me the refund. I didn't realize put 2 &amp; 2 together and realize AMZL was your own logistics. That's 2 orders you've lost,416661,416665.0,DELIVERY_NOT_RECEIVED,0.85,DELIVERY_NOT_RECEIVED
1363541,437492,Tue Oct 17 11:13:28 +0000 2017,@AmazonHelp Hope you have product with you and not just doing Natak of delivery as no one is willing to talk on phone,"1363543,1363544",1363540.0,DELIVERY_DELAY,0.85,DELIVERY_NOT_RECEIVED
519736,239945,Sat Dec 02 12:55:24 +0000 2017,@AmazonHelp 4 of the 5 were shipped via UPS. 1 was AMZL US.,519738,519735.0,SKIP,0.85,DELIVERY_NOT_RECEIVED
1216356,405415,Mon Oct 16 13:43:13 +0000 2017,@AmazonHelp I need the present by tomorrow so was hoping for an instant solution. The above says 'the seller must respond within 2 business days',1216358,1216355.0,ORDER_STATUS,0.85,ORDER_STATUS
2170948,636804,Thu Nov 09 12:51:01 +0000 2017,"@AmazonHelp because it was sold by amazon warehouse deals, you only had one of the item, not very happy",,2170944.0,SKIP,0.85,SKIP
2306305,669087,Thu Oct 19 21:21:44 +0000 2017,@AmazonHelp That’s what I done and it ended up in a cancelled order ¯\_(ツ)_/¯,,2306304.0,SKIP,0.85,ORDER_STATUS
179284,158252,Thu Sep 28 12:14:04 +0000 2017,@AmazonHelp A malformed URL in the signature /2 https://t.co/u7iPFshZY4,179283,179285.0,PRODUCT_TECHNICAL,0.85,SKIP
779928,306231,Thu Oct 12 05:39:32 +0000 2017,@AmazonHelp Yes..with the same delivery address and reseller..informed ur customer care..who acknowledged availability but expressed helplessness...,"779930,779931,779932,779933",779927.0,CUSTOMER_SERVICE_ESCALATION,0.88,CUSTOMER_SERVICE_ESCALATION
1627795,323707,Tue Oct 17 12:50:29 +0000 2017,@AmazonHelp It’s a business address. You know it closes at five.,"1627798,1627799",1627794.0,DELIVERY_DELAY,0.88,DELIVERY_DELAY
419005,214942,Tue Oct 10 05:12:39 +0000 2017,@AmazonHelp So what ..If I don't like the product then?? I can do the same with other e-commerce and shop as well #BadPolicies #Amazon,419007,419003.0,RETURN_REFUND,0.88,SKIP
487720,231090,Fri Dec 01 16:07:25 +0000 2017,"@AmazonHelp I was on the phone with Breeana but package was apparently in no mans land.  Order #114-0545706-2482611.
Had I know I would have ordered from manufacturer",487722,487719.0,ORDER_STATUS,0.88,ORDER_STATUS
728128,294425,Fri Apr 21 04:29:09 +0000 2017,".@119625 @15654 Why is the 3rd Season of Bosch  not yet available in India ? 😠👿😭

@119625 @116618 @15654 @AmazonHelp",728127,728129.0,PRIME_MEMBERSHIP,0.88,PRIME_MEMBERSHIP
2028491,599867,Thu Oct 19 06:35:58 +0000 2017,@AmazonHelp Please read whole story and provide solution @AmazonHelp @115850 https://t.co/zE0sRIlRps,"2028493,2028494",2028490.0,CUSTOMER_SERVICE_ESCALATION,0.88,CUSTOMER_SERVICE_ESCALATION
786771,299209,Thu Oct 12 09:58:41 +0000 2017,"@AmazonHelp Ok will do,hope it gets dispatched during the day",,786770.0,ORDER_STATUS,0.88,ORDER_STATUS
18964,120229,Wed Nov 01 06:10:16 +0000 2017,@AmazonHelp Then how should I reach you for assistance,18966,18963.0,CUSTOMER_SERVICE_ESCALATION,0.89,CUSTOMER_SERVICE_ESCALATION
142131,148075,Fri Nov 24 12:38:15 +0000 2017,"@AmazonHelp Hi - It was an email saying we miss you and then ""We'd like to offer you this exclusive promotional code, giving you £10 off any qualifying order of £50 or above on items sold on https://t.co/2WIaSHztbH. Your coupon code is valid until 22 December 2017.""",142133,142130.0,PAYMENT_BILLING,0.89,PAYMENT_BILLING
2485653,226779,Wed Nov 15 15:54:31 +0000 2017,"@AmazonHelp @AmazonHelp  seriously.. you looted my money..
@115821 you loosing your old costomer ..",,2485651.0,PAYMENT_BILLING,0.9,SKIP
2437240,699162,Sun Oct 29 15:43:53 +0000 2017,@AmazonHelp La talla del fabricante de la 39 es una 6UK pero en la web no queda claro.,,2437239.0,SKIP,0.9,SKIP
345890,198313,Sun Oct 08 03:22:00 +0000 2017,@AmazonHelp I am looking for the following game: https://t.co/PcxEP67pEf,345892,345889.0,SKIP,0.9,SKIP
86089,134794,Thu Nov 30 14:18:05 +0000 2017,"@AmazonHelp Hi, is this completely out of stock now? I was going to order it to come tomorrow, but it now says its unavailable on the app. https://t.co/mfDaoZpdnO",86087,,SKIP,0.9,SKIP
1993256,589895,Wed Oct 18 19:17:26 +0000 2017,@AmazonHelp Haha non rien que vous puissiez faire. Juste que je n'aurai pas mon colis demain mais plus tard malheureusement. Mais merci,1993255,1993257.0,DELIVERY_DELAY,0.9,SKIP
1783484,535857,Tue Oct 17 23:28:21 +0000 2017,@115850 @118702 Your cust srvc tells me that there is no cash back offer on my order. They called me a liar. Order number: 171-5714352-0245145 @AmazonHelp,"1786537,1786538,1786539",1783483.0,PAYMENT_BILLING,0.9,SKIP
752969,299947,Wed Oct 11 14:35:56 +0000 2017,@AmazonHelp I've never bought anything on Amazon Prime.,,752968.0,PRIME_MEMBERSHIP,0.9,SKIP
1206946,325962,Wed Oct 25 08:51:40 +0000 2017,@AmazonHelp Product arrives late and with defect. Customer service sends noone despite of launching complqint,1206943,1206947.0,CUSTOMER_SERVICE_ESCALATION,0.9,PRODUCT_TECHNICAL
1246859,412530,Thu Oct 26 01:12:49 +0000 2017,"@AmazonHelp 2/CS said driver attempted delivery, but I’ve been home all evening with no doorbell or knock. CS insisted I was wrong.",,1246857.0,CUSTOMER_SERVICE_ESCALATION,0.9,DELIVERY_NOT_RECEIVED
585646,258276,Sun Dec 03 15:16:01 +0000 2017,@AmazonHelp Thanks for relying. It says it's still in Philly. It's been there since yesterday. The delivery is now scheduled from Dec. 3-5. I may have to call customer service to push back my delivery. I need to be home to receive those packages 😕,585648,585645.0,ORDER_STATUS,0.9,DELIVERY_DELAY
1741810,207103,Tue Nov 07 18:09:05 +0000 2017,"@AmazonHelp I have told you the issue I am facing, not only I many are facing the same issue.","1741812,1741813",1741809.0,CUSTOMER_SERVICE_ESCALATION,0.9,CUSTOMER_SERVICE_ESCALATION
277188,182224,Sat Oct 14 15:31:31 +0000 2017,@AmazonHelp where is your chat function? https://t.co/KVYgr9g1Dk,277189,277187.0,CUSTOMER_SERVICE_ESCALATION,0.9,CUSTOMER_SERVICE_ESCALATION
1953370,579937,Thu Nov 16 12:27:24 +0000 2017,"@AmazonHelp This is there reply, they arent frozen funds https://t.co/qdVGjHxf5n",,1953369.0,PAYMENT_BILLING,0.9,SKIP
2300777,667759,Sun Nov 12 17:25:37 +0000 2017,@AmazonHelp Yeah I was supposed to get two things today but I only got one package,2300774,2300781.0,DELIVERY_NOT_RECEIVED,0.9,ORDER_STATUS
2236268,280741,Fri Nov 10 18:37:18 +0000 2017,@AmazonHelp Problèmé lié à Adblock,2236267,2236269.0,PRODUCT_TECHNICAL,0.9,SKIP
527729,242158,Sun Dec 03 13:43:50 +0000 2017,@AmazonHelp Et ne mettez pas un champ Téléphone dans votre formulaire qui est obligatoire quand personne de chez vous nous rappelle.,,527727.0,CUSTOMER_SERVICE_ESCALATION,0.9,SKIP
486738,227782,Fri Dec 01 15:36:00 +0000 2017,I remember when Amazon Prime used to mean next day delivery @AmazonHelp https://t.co/k26e1dzBkd,486737,,DELIVERY_DELAY,0.9,DELIVERY_DELAY
970281,350255,Sun Oct 22 07:48:43 +0000 2017,@AmazonHelp #Amazon_Prime is a scam.,,970279.0,SKIP,0.9,CUSTOMER_SERVICE_ESCALATION
1460534,421899,Thu Nov 02 21:19:53 +0000 2017,Toujours en train d'attendre le livreur d'amazon.. poke @AmazonHelp,"1460532,1460536",,DELIVERY_DELAY,0.9,SKIP
280207,182724,Fri Oct 06 10:06:40 +0000 2017,"@AmazonHelp You're promising fake services, no satisfaction, the statement will be sorted within 24-48 hours . Tired of this #Sasikala #ICAN #Notoamazon",,280205.0,CUSTOMER_SERVICE_ESCALATION,0.9,CUSTOMER_SERVICE_ESCALATION
534153,243714,Sat Dec 02 12:10:47 +0000 2017,"@AmazonHelp You’ve lost my parcel, so all I get is a refund and have to buy it at a more expensive price? How is that fair",,534152.0,RETURN_REFUND,,RETURN_REFUND
2555213,725594,Thu Nov 16 16:37:52 +0000 2017,@AmazonHelp This is been almost a month i asked for return and then subsequently refund.everything was delays. Not happy at all,,2555211.0,RETURN_REFUND,0.95,RETURN_REFUND
536562,244324,Sat Dec 02 13:17:41 +0000 2017,"Bonjour @AmazonHelp, Dites j'attends depuis le 19 novembre un remboursement dont vous avez reçu le produit. Chaque jour on me dit que cela sera fait aujourd'hui. La satisfaction client n'est plus votre priorité pour Noël ?",536561,,RETURN_REFUND,0.98,SKIP
2601403,736319,Fri Nov 17 08:07:32 +0000 2017,@AmazonHelp And amazon initially returned $17 and charged me a restocking fee ... so you see why I am upset???,,2601402.0,RETURN_REFUND,0.95,RETURN_REFUND
1114339,382996,Sun Oct 15 10:19:58 +0000 2017,"@AmazonHelp hi, need help regarding exchange offers. Kindly contact ASAP.","1114340,1114338",,PAYMENT_BILLING,,SKIP
226327,170030,Thu Oct 05 07:13:07 +0000 2017,@AmazonHelp I want to solution at the earliest and give my money and interest and all that has Been charged back,,226326.0,PAYMENT_BILLING,,PAYMENT_BILLING
1266335,328635,Fri Nov 03 18:06:02 +0000 2017,@AmazonHelp @15471 @120697 @115821 @2517 @4030 @118702 @14281 @75897 @120697 amazon has cheated n harassed me tactfully for Rs 35000 i ve all proofs,,878788.0,PAYMENT_BILLING,,PAYMENT_BILLING
233115,171489,Thu Oct 05 11:03:41 +0000 2017,I bought @115850 fire stick in the cash back period of 500 off.... When i will be getting it back on my pay balance?? @AmazonHelp,233114,,PAYMENT_BILLING,0.95,PAYMENT_BILLING
887908,330827,Fri Oct 13 17:31:57 +0000 2017,@AmazonHelp If my Prime was cancelled will my purchase history be preserved when I restart it or it it a blank slate?,887907,,PRIME_MEMBERSHIP,0.95,PRIME_MEMBERSHIP
2692729,270228,Sun Nov 19 17:21:19 +0000 2017,"@AmazonHelp I have tried to cancel Amazon Prime through customer services but this was unsuccessful, as they could not discuss it with me as I didn't know the email. They have told me to contact my bank, and my bank has raised a Visa dispute, and have told me to inform you of this action.",2692731,2692727.0,PRIME_MEMBERSHIP,0.95,PRIME_MEMBERSHIP
332780,195252,Sat Oct 07 19:14:14 +0000 2017,"@AmazonHelp hey guys, canceled my amazon prime mid-September but still didnt get refund. Emailed but no response. Any help?",332779,,PRIME_MEMBERSHIP,0.95,PRIME_MEMBERSHIP
191649,161042,Tue Oct 10 21:41:17 +0000 2017,"@AmazonHelp @115850 - I have paid you ""Amazon"" the Prime Membership Fees. Do you realize that?",,191647.0,PRIME_MEMBERSHIP,0.95,PRIME_MEMBERSHIP
651648,274961,Sat Nov 11 18:35:46 +0000 2017,@AmazonHelp je ne peux pas me connecter a ce lien : car des que je me connecte je tombre sur la meme boite de dialogue demandant la CB. Y a t il un n° de tel ou uemail pour le support ? merci,651649,651647.0,ACCOUNT_ACCESS,0.92,SKIP
2043380,604264,Thu Oct 19 00:00:13 +0000 2017,"@AmazonHelp No you didn’t, you told me there was nothing you could do without an ID with current address or my old phone #.",,2043379.0,ACCOUNT_ACCESS,0.93,ACCOUNT_ACCESS
786514,307625,Thu Oct 12 09:48:48 +0000 2017,@AmazonHelp Via e-mail to which they told me I don't have Amazon account so they can't respond to me. After previously respondin to me on the same email,786515,786513.0,ACCOUNT_ACCESS,0.92,ACCOUNT_ACCESS
1843592,552388,Sun Nov 26 07:46:16 +0000 2017,@AmazonHelp We have been trying to contact amazon customer service but it says your account has been blocked. We are unable to connect to your team. We have some order issue. This type of inconvenience was not expected from Amazon. I'm a proud customer of Amazon but I'm really disappointed.,,1843590.0,ACCOUNT_ACCESS,0.95,ACCOUNT_ACCESS
1354439,435856,Fri Oct 27 19:45:16 +0000 2017,"@AmazonHelp to get my money also i need to wait for not known time/system.
no sense people. i am going to sue you people.",,1354437.0,DELIVERY_NOT_RECEIVED,,SKIP
649698,274437,Wed Nov 22 21:11:16 +0000 2017,@AmazonHelp It is saying it has been delivered at my back door or porch which I have neither. I've asked neighbours and they've not taken it in either. I've spoke to customer services and they've processed a refund,,649697.0,DELIVERY_NOT_RECEIVED,0.95,DELIVERY_NOT_RECEIVED
235167,172003,Thu Oct 05 13:28:28 +0000 2017,@AmazonHelp didn't receive the product yet,235165,,DELIVERY_NOT_RECEIVED,0.92,DELIVERY_NOT_RECEIVED
777585,305636,Thu Oct 12 04:06:49 +0000 2017,@AmazonHelp Never expected this from.amazon.Ive raised a concern immediately after I've received a msg which says that the order has been delivered,,777583.0,DELIVERY_NOT_RECEIVED,0.95,DELIVERY_NOT_RECEIVED
543840,240102,Sat Dec 02 19:42:09 +0000 2017,@AmazonHelp I haven’t got the email notification for that refund but thanks,543841,543839.0,RETURN_REFUND,0.92,RETURN_REFUND
