tweet_id,author_id,created_at,text,response_tweet_id,in_response_to_tweet_id,intent,confidence,human_intent
534153,243714,Sat Dec 02 12:10:47 +0000 2017,"@AmazonHelp You’ve lost my parcel, so all I get is a refund and have to buy it at a more expensive price? How is that fair",,534152.0,RETURN_REFUND,,RETURN_REFUND
2555213,725594,Thu Nov 16 16:37:52 +0000 2017,@AmazonHelp This is been almost a month i asked for return and then subsequently refund.everything was delays. Not happy at all,,2555211.0,RETURN_REFUND,0.95,RETURN_REFUND
536562,244324,Sat Dec 02 13:17:41 +0000 2017,"Bonjour @AmazonHelp, Dites j'attends depuis le 19 novembre un remboursement dont vous avez reçu le produit. Chaque jour on me dit que cela sera fait aujourd'hui. La satisfaction client n'est plus votre priorité pour Noël ?",536561,,RETURN_REFUND,0.98,SKIP
2601403,736319,Fri Nov 17 08:07:32 +0000 2017,@AmazonHelp And amazon initially returned $17 and charged me a restocking fee ... so you see why I am upset???,,2601402.0,RETURN_REFUND,0.95,RETURN_REFUND
1114339,382996,Sun Oct 15 10:19:58 +0000 2017,"@AmazonHelp hi, need help regarding exchange offers. Kindly contact ASAP.","1114340,1114338",,PAYMENT_BILLING,,SKIP
226327,170030,Thu Oct 05 07:13:07 +0000 2017,@AmazonHelp I want to solution at the earliest and give my money and interest and all that has Been charged back,,226326.0,PAYMENT_BILLING,,PAYMENT_BILLING
1266335,328635,Fri Nov 03 18:06:02 +0000 2017,@AmazonHelp @15471 @120697 @115821 @2517 @4030 @118702 @14281 @75897 @120697 amazon has cheated n harassed me tactfully for Rs 35000 i ve all proofs,,878788.0,PAYMENT_BILLING,,PAYMENT_BILLING
233115,171489,Thu Oct 05 11:03:41 +0000 2017,I bought @115850 fire stick in the cash back period of 500 off.... When i will be getting it back on my pay balance?? @AmazonHelp,233114,,PAYMENT_BILLING,0.95,PAYMENT_BILLING
887908,330827,Fri Oct 13 17:31:57 +0000 2017,@AmazonHelp If my Prime was cancelled will my purchase history be preserved when I restart it or it it a blank slate?,887907,,PRIME_MEMBERSHIP,0.95,PRIME_MEMBERSHIP
2692729,270228,Sun Nov 19 17:21:19 +0000 2017,"@AmazonHelp I have tried to cancel Amazon Prime through customer services but this was unsuccessful, as they could not discuss it with me as I didn't know the email. They have told me to contact my bank, and my bank has raised a Visa dispute, and have told me to inform you of this action.",2692731,2692727.0,PRIME_MEMBERSHIP,0.95,PRIME_MEMBERSHIP
332780,195252,Sat Oct 07 19:14:14 +0000 2017,"@AmazonHelp hey guys, canceled my amazon prime mid-September but still didnt get refund. Emailed but no response. Any help?",332779,,PRIME_MEMBERSHIP,0.95,PRIME_MEMBERSHIP
191649,161042,Tue Oct 10 21:41:17 +0000 2017,"@AmazonHelp @115850 - I have paid you ""Amazon"" the Prime Membership Fees. Do you realize that?",,191647.0,PRIME_MEMBERSHIP,0.95,PRIME_MEMBERSHIP
651648,274961,Sat Nov 11 18:35:46 +0000 2017,@AmazonHelp je ne peux pas me connecter a ce lien : car des que je me connecte je tombre sur la meme boite de dialogue demandant la CB. Y a t il un n° de tel ou uemail pour le support ? merci,651649,651647.0,ACCOUNT_ACCESS,0.92,SKIP
2043380,604264,Thu Oct 19 00:00:13 +0000 2017,"@AmazonHelp No you didn’t, you told me there was nothing you could do without an ID with current address or my old phone #.",,2043379.0,ACCOUNT_ACCESS,0.93,ACCOUNT_ACCESS
786514,307625,Thu Oct 12 09:48:48 +0000 2017,@AmazonHelp Via e-mail to which they told me I don't have Amazon account so they can't respond to me. After previously respondin to me on the same email,786515,786513.0,ACCOUNT_ACCESS,0.92,ACCOUNT_ACCESS
1843592,552388,Sun Nov 26 07:46:16 +0000 2017,@AmazonHelp We have been trying to contact amazon customer service but it says your account has been blocked. We are unable to connect to your team. We have some order issue. This type of inconvenience was not expected from Amazon. I'm a proud customer of Amazon but I'm really disappointed.,,1843590.0,ACCOUNT_ACCESS,0.95,ACCOUNT_ACCESS
1354439,435856,Fri Oct 27 19:45:16 +0000 2017,"@AmazonHelp to get my money also i need to wait for not known time/system.
no sense people. i am going to sue you people.",,1354437.0,DELIVERY_NOT_RECEIVED,,SKIP
649698,274437,Wed Nov 22 21:11:16 +0000 2017,@AmazonHelp It is saying it has been delivered at my back door or porch which I have neither. I've asked neighbours and they've not taken it in either. I've spoke to customer services and they've processed a refund,,649697.0,DELIVERY_NOT_RECEIVED,0.95,DELIVERY_NOT_RECEIVED
235167,172003,Thu Oct 05 13:28:28 +0000 2017,@AmazonHelp didn't receive the product yet,235165,,DELIVERY_NOT_RECEIVED,0.92,DELIVERY_NOT_RECEIVED
777585,305636,Thu Oct 12 04:06:49 +0000 2017,@AmazonHelp Never expected this from.amazon.Ive raised a concern immediately after I've received a msg which says that the order has been delivered,,777583.0,DELIVERY_NOT_RECEIVED,0.95,DELIVERY_NOT_RECEIVED
